URN,dbid,Categoria,Familia,Category,Nombre de tipo,Longitud,Área,Volumen,Perímetro,Nota Clave
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3910,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.075,0.01171875,0.000175781,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3911,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.3,0.021,0.000315,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3912,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.075,0.01171875,0.000175781,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3913,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.3,0.021,0.000315,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3914,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.075,0.01171875,0.000175781,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3915,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.3,0.021,0.000315,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3916,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.075,0.01321875,0.000198281,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3999,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.25011654,0.084008158,0.001260122,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3386,Revit Dispositivos de seguridad,Brazo hidráulico,Revit Dispositivos de seguridad,Door closer DC300,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3677,Revit Escaleras,Escalera moldeada in situ,Revit Escaleras,Escalera monolítica,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3682,Revit Tramos,Tramo monolítico,Revit Tramos,Tramo e=20 cm,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3683,Revit Tramos,Tramo monolítico,Revit Tramos,Tramo e=20 cm,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3689,Revit Tramos,Tramo monolítico,Revit Tramos,Tramo e=20 cm,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3691,Revit Tramos,Tramo monolítico,Revit Tramos,Tramo e=20 cm,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3688,Revit Descansillos,Descansillo monolítico,Revit Descansillos,P-Maciza Escalera e=20cn,,,,,
